  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr       dur
    334            0.8275        0.7317       0.6779            0.6779        0.8215  0.0375  234.1996
    335            0.8283        0.7470       0.6786            0.6786        0.8164  0.0374  232.1490
    336            0.8202        0.7612       0.6782            0.6782        0.8388  0.0374  254.7275
    337            0.7816        0.7427       0.6238            0.6238        0.9279  0.0373  233.3950
    338            0.7758        0.7507       0.6393            0.6393        0.8796  0.0372  237.4301
    339            0.8368        0.7877       0.6755            0.6755        0.8202  0.0372  242.9686
    340            0.8322        0.8210       0.6894            0.6894        0.7920  0.0371  236.6432
    341            0.8480        0.7533       0.6914            0.6914        0.8036  0.0370  240.4641
    342            0.8225        0.7361       0.6605            0.6605        0.8729  0.0370  236.7020
    343            0.8202        0.7794       0.6574            0.6574        0.8303  0.0369  245.4954
    344            0.7712        0.7426       0.6277            0.6277        0.9074  0.0368  222.1758
    345            0.8233        0.8017       0.6682            0.6682        0.8233  0.0367  248.3227
    346            0.8414        0.7525       0.6840            0.6840        0.8057  0.0367  240.3631
    347            0.7998        0.7500       0.6505            0.6505        0.8688  0.0366  262.8236
    348            0.8086        0.7471       0.6559            0.6559        0.8473  0.0365  259.2931
    349            0.8314        0.7400       0.6806            0.6806        0.7985  0.0365  246.7043
    350            0.8445        0.7093       0.6929            0.6929        0.7904  0.0364  247.3879
    351            0.8353        0.7616       0.6833            0.6833        0.8097  0.0363  262.1423
    352            0.8113        0.7601       0.6516            0.6516        0.8496  0.0363  226.3483
    353            0.7708        0.7504       0.6296            0.6296        0.8943  0.0362  234.7983
    354            0.7245        0.7462       0.6111            0.6111        1.0368  0.0361  234.1747
    355            0.7782        0.7470       0.6547            0.6547        0.8745  0.0360  236.4676
    356            0.8175        0.8013       0.6690            0.6690        0.8323  0.0360  228.7374
    357            0.8349        0.7621       0.6752            0.6752        0.8132  0.0359  237.8703
    358            0.8241        0.7697       0.6678            0.6678        0.8262  0.0358  232.3742
    359            0.7924        0.7797       0.6412            0.6412        0.8885  0.0358  227.1529
    360            0.8291        0.7509       0.6698            0.6698        0.8136  0.0357  221.1454
    361            0.8314        0.7797       0.6790            0.6790        0.8086  0.0356  225.8740
